User;Text;Date;Tweet Link;Media Links;Reply To
@dantsus;⁦ @ojkindonesia ⁩ pengawasan supaya lebih atas manajemen bank ⁦ @KemenBUMN ⁩ melakukan catat palsu kredit2 macet NPL. Slik OJK dilaporkan lancar. Nyata debitur tidak pernah bayar sama sekali. 2012 Pengawas ⁦ @bank_indonesia ⁩ menemukan.;2024-01-28T23:58:15.000Z;https://x.com/dantsus/status/1751756607577600408;[];
@Caramelimee;kalo bisa sih saya milih dua, crypto dan saham. tapi karena polingnya hrs satu jadi ya lbh milih saham alesannya sama-sama high risk high return tapi saham diawasi oleh ojk dan peraturan hukumnya lebih jelas + punya tidak memiliki nilai intrinsik;2024-01-28T23:09:25.000Z;https://x.com/Caramelimee/status/1751744317197348917;['https://pbs.twimg.com/media/GE9xCMbawAAXM2U?format=jpg&name=900x900'];@GabRey99
@Andara_sah;Yang lebih aman kalau mau inves reksadana pasar saham aja nder, pastinya yg udah legal dan diawasi OJK ya. Kalau inves nya disaham pas lagi turun resiko rugi banget Jangan mencoba inves di Photocards ya, PC cukup buat hobby aja.. soalnya kalau aku malah rugi;2024-01-28T16:56:56.000Z;https://x.com/Andara_sah/status/1751650575937359887;[];@Andara_sah
@haloyouthid;Lalai? Shopee Diduga Telantarkan Korban Pencurian Data SPaylater Bertahun-tahun, ini Kata OJK dan Pengamat http://dlvr.it/T2047F;2024-01-28T16:17:34.000Z;https://x.com/haloyouthid/status/1751640672602640482;[];
@psnghnmyboo;"day 1 sg nemen sampe sikut""an terus kuku patah berdarah busett sampe di tandu DAN IKU DIDEPAN MEMBER JELAS MEMBER ERO!! padahal ws di kongkon ojk dorong"" yo sek bebal, anak"" sampe turun tangan yo sek ga dirungokno dahlah";2024-01-28T15:59:55.000Z;https://x.com/psnghnmyboo/status/1751636230742438033;[];@rainbownaa_j
@golek_wangsit;kode promo referral pinjaman online dana tunai pinjol/payleter OJK indodana: 956LUQUG tips ACC: kontak darurat akan dikirim SMS link verifikasi-klik-SETUJU McD Tokopedia Alfamart Blibli iBox samsung erafone eiger Airpaz oppo IKEA/pulsa/token/tiket konser/pesawat/hotel/bioskop;2024-01-28T14:54:00.000Z;https://x.com/golek_wangsit/status/1751619641204728267;['https://pbs.twimg.com/media/GE8Axx9aMAAhjNX?format=jpg&name=small'];
@chocomilkmo;Ojk nggolek penyakit;2024-01-28T14:49:44.000Z;https://x.com/chocomilkmo/status/1751618567077015830;[];@JatimBase
@Mfthrrzkk;Lah kan si ahok duluan yg bawa bawa agama Pake wifi name almaidah lah, surga di alexist lah, jangan mau dibohongi pake surat almaidah ayat 53 lah Gimana gak ngamuk zetsu putih;2024-01-28T14:42:37.000Z;https://x.com/Mfthrrzkk/status/1751616775169716371;[];@pastiiihalal
@pleuvoiraverse;Soalnya kalau kamu lapor ke ojk juga gitu.. disuruhnya block aja nomornya dan jangan ditanggapi tapi mereka gak akan terus-menerus kok. Paling lama tuh ya sebulan;2024-01-28T14:29:05.000Z;https://x.com/pleuvoiraverse/status/1751613371626168827;[];@tweettrovert
@Mfthrrzkk;Klw mau budaya moyang lu gak berbaur sama budaya lain harusnya lu masih gini ya ngentod;2024-01-28T14:24:37.000Z;https://x.com/Mfthrrzkk/status/1751612246353129811;['https://pbs.twimg.com/media/GE76DkfbMAE4Jqe?format=jpg&name=small'];@AndriAgust92281
