User;Text;Date;Tweet Link;Media Links;Reply To
@penikmatriba;Work & holiday visa di ausieeeee, sama sebagian buat ojk keknya sis;2024-02-28T23:43:56.000Z;https://x.com/penikmatriba/status/1762987026344038496;[];@xoxolofey
@NandinAR;wah ojk udah mau open nih;2024-02-28T23:31:44.000Z;https://x.com/NandinAR/status/1762983956692246800;[];
@xposisiofficial;Buruan Daftar! Inilah Info Loker dari OJK untuk Lulusan S1 dan S2 Edisi Maret 2024, Simak Persyaratan Pendaftarannya di Sini;2024-02-28T23:30:16.000Z;https://x.com/xposisiofficial/status/1762983589153821100;[];
@KAEUNlE;"Sama banget nder... Udah nunggu2 karena ada kabar ojk mau open tahun ini, pas muncul info resmi pendaftarannya auto ""gapapa gapapa ikhlas yuk ga daftar ojk dulu yang ini"" Toefl itp resmi ets mahal banget soalnya";2024-02-28T23:12:52.000Z;https://x.com/KAEUNlE/status/1762979208438165956;['https://pbs.twimg.com/media/GHafh10bkAAVNl8?format=jpg&name=small'];
@KontanNews;OJK Terbitkan Tiga SEOJK untuk Fintech Lending, BP Tapera dan PPSP, Apa Isinya? http://keuangan.kontan.co.id/news/ojk-terbitkan-tiga-seojk-untuk-fintech-lending-bp-tapera-dan-ppsp-apa-isinya… #OJK;2024-02-28T23:00:02.000Z;https://x.com/KontanNews/status/1762975979037950184;[];
@midazolammmmm;Yang pada nyari pun sama aja. Mau kerja di OJK looo, lembaga independen yg NGAWASIN jasa keuangan, masa mau curang?;2024-02-28T22:59:04.000Z;https://x.com/midazolammmmm/status/1762975733629198693;[];@midazolammmmm
@inibojes22;[[ＬＯＫＥＲ - ＭＥＤＡＮ]] Perusahaan : OJK Posisi dibuka : Rekrutmen SDM OJK melalui Program Pendidikan Calon Staf (PCS) Angkatan 7 Kirim CV di : https://ojk-pcs7.experd.com;2024-02-28T22:46:29.000Z;https://x.com/inibojes22/status/1762972570180366701;['https://pbs.twimg.com/media/GHdWEGfa0AAblOc?format=jpg&name=small'];@inibojes22
@midazolammmmm;Udah pada gila yg terang2an nawarin joki toefl. Daftar ke lembaga sekelas ojk lohh, mau dengan cara curang??? Astagaa;2024-02-28T22:43:12.000Z;https://x.com/midazolammmmm/status/1762971742941950254;[];@worksfess
@Bisniscom;AAUI Dukung Langkah OJK Tangkal Tingginya Klaim Kesehatan Akibat Inflasi Kesehatan;2024-02-28T22:26:33.000Z;https://x.com/Bisniscom/status/1762967552970658163;[];
@gavienrose;Lol, ojk gak nerima sastra;2024-02-28T22:13:06.000Z;https://x.com/gavienrose/status/1762964167039046048;[];
@FrankyTts;Beredarnya nama kandidat Menteri Keuangan pemerintahan Prabowo-Gibran jika menang di Pilpres adalah Menteri Kesehatan Budi Sadikin, Wakil Menteri BUMN Kartika Wirjoatmodjo, Ketua Dewan Komisioner OJK Mahendra Siregar, dan Direktur Utama BNI Royke Tumilaar https://finance.detik.com/berita-ekonomi-bisnis/d-7217182/beredar-4-nama-calon-menkeu-bidikan-prabowo-ini-respons-airlangga….;2024-02-28T22:01:54.000Z;https://x.com/FrankyTts/status/1762961349133635675;[];
@fanyauliaa;Wejangan hari rabu: “Ayah sama Ibu mah terserah anak2 mau jd apa, tugas kita sbg orgtua hanya mendukung dan mendoakan.” Wejangan hari kamis: “OJK udah daftar blm? Skrg kamu perjuangin itu di OJK, masa gak lolos2 sih. Kamu tau ga di OJK itu kerjanya ngapain?? Masa gt aja gatau.”;2024-02-28T21:44:22.000Z;https://x.com/fanyauliaa/status/1762956938000920666;[];
@detikfinance;Otoritas Jasa Keuangan (OJK) kembali membuka pendaftaran rekrutmen SDM untuk masyarakat umum melalui Program Pendidikan Calon Staf (PCS) Angkatan 7.;2024-02-28T20:45:45.000Z;https://x.com/detikfinance/status/1762942185815605668;[];
@kogoromilenial;Sesat semua yang mau daftar OJK pake ginian. Mau jadi pegawai lembaga independen, kelakuan korup;2024-02-28T19:55:36.000Z;https://x.com/kogoromilenial/status/1762929566123962512;[];@lovpr
