User;Text;Date;Tweet Link;Media Links;Reply To
@theiconomic;Otoritas Jasa Keuangan (OJK) melakukan kerja sama dengan Korea Deposit Insurance Corporation (KDIC) dan Korea Insurance Development Institute (KIDI) untuk memperluas kerja sama internasional di bidang pengembangan bidang perasuransian Selengkapnya;2023-12-11T23:59:57.000Z;https://x.com/theiconomic/status/1734362417982025845;[];
@nonagon123;Kok ini tidak masuk transaksi material yang perlu RUPS ya berdasarkan peraturan OJK?;2023-12-11T23:45:58.000Z;https://x.com/nonagon123/status/1734358897455165850;[];@TalkinAndy
@liputan6dotcom;OJK Jadi Penyelamat Industri Keuangan di Tengah Ancaman Ekonomi Global http://dlvr.it/T014g7 #Bisnis;2023-12-11T23:06:35.000Z;https://x.com/liputan6dotcom/status/1734348986486862088;[];
@darkchcltee;aman wes ngomong cak yes aku ojk di log in o;2023-12-11T22:52:43.000Z;https://x.com/darkchcltee/status/1734345494602874995;[];@rizalinrhdyt
@dotpierces;ayoo;2023-12-11T19:46:38.000Z;https://x.com/dotpierces/status/1734298666083721239;[];@YAOIBASERP
@dotpierces;nyampe kamar langsung di serbu sama 2 makhluk berbulu ini;2023-12-11T19:29:30.000Z;https://x.com/dotpierces/status/1734294354267906540;['https://pbs.twimg.com/media/GBFzgREaoAUKzOB?format=jpg&name=small', 'https://pbs.twimg.com/media/GBFzhJMaoAIAtZg?format=jpg&name=360x360'];
@vichysahye40495;@ngopipagi923441 saya mau tanya, kalau kita dalam posisi telat bayar dan ingin nego bayar pokok saja dengan ketentuan waktu terbatas, tetapi pihak pinjol tidak peduli dan terus melakukan intimidasi dan juga pihak afpi dan ojk tidak merespon keluhan, solusinya bagaimana ?;2023-12-11T18:56:57.000Z;https://x.com/vichysahye40495/status/1734286163974988122;[];@ngopipagi923441
@pwkYANTI;Dapatkan cicilan hingga 80 JUTA hanya dengan data diri Sudah terdaftar dan diawasi OJK Download sekarang dan ajukan pinjamanmu!;2023-12-11T16:35:54.000Z;https://x.com/pwkYANTI/status/1734250668725256516;[];
@JogjaTON;Yg ga anti kripto aja sih.. Sama yg minimal paham... Toh kripto dah dibawah naungan OJK;2023-12-11T16:04:46.000Z;https://x.com/JogjaTON/status/1734242833396375678;[];@anggaandinata
@Straica17;ojk ok ok ok https://x.com/Portalcoin/sta/Portalcoin/status/1734230439710130248…;2023-12-11T15:30:42.000Z;https://x.com/Straica17/status/1734234260691652796;[];
