User;Text;Date;Tweet Link;Media Links;Reply To
@triplehokhok;Tidak adanya empati dari pihak fintech dan OJK kepada debitur dalam meringankan bunga tsbt. Walau sudah mencoba aduan ke kantor fintech masing2,tetap saja mereka tidak mau tau.;2024-04-30T23:35:20.000Z;https://x.com/triplehokhok/status/1785452909423153295;[];@mrtweepsID
@balipuspanews;OJK Tekankan Perkuat Integritas Sikap Anti Korupsi dengan Meneladani RA Kartini https://balipuspanews.com/ojk-tekankan-perkuat-integritas-sikap-anti-korupsi-dengan-meneladani-ra-kartini.html?utm_source=dlvr.it&utm_medium=twitter… #Jakarta #News #BeritaJakarta #KetuaDewanAuditOJK #ojk;2024-04-30T22:54:05.000Z;https://x.com/balipuspanews/status/1785442529317683393;[];
@softenylicesy;kemarin kuliah di OJK, Yallah salah satu impianku bisa kerja di OJK (AAMIIN) BANTU DOALAH, minimal internship lah ya disana, bismillah deh ikhtiar dan selalu berusaha semoga hal baik itu bisa aku raih aamiin;2024-04-30T22:01:15.000Z;https://x.com/softenylicesy/status/1785429231964700723;['https://pbs.twimg.com/media/GMcead3asAArgQt?format=jpg&name=small', 'https://pbs.twimg.com/media/GMceaf3bsAAfPM1?format=jpg&name=small', 'https://pbs.twimg.com/media/GMceaijaoAATg7S?format=jpg&name=small', 'https://pbs.twimg.com/media/GMceatRbcAAauLl?format=jpg&name=small'];
@Jalan2soreceria;Diurus ke polisi. Trus urusan pinjamannya bawa ke OJK. Tapi sulit kids, jaman skrg harus ada hitam di atas putih.;2024-04-30T20:04:36.000Z;https://x.com/Jalan2soreceria/status/1785399876492431737;[];@putu_ayu19
@bukanhadee;beban uner sedang pantau”;2024-04-30T19:37:07.000Z;https://x.com/bukanhadee/status/1785392959070068791;['https://pbs.twimg.com/media/GMb9bdhawAE5v_3?format=jpg&name=small'];
@xfyfz;Tadi ada teman nelpon mau minjam duit 20jt buat bayar pinjol. Tidak saya kasih. Total ada 3 pinjol. 1 ilegal, tdk terdaftar OJK. Katanya pokok utang 10jtan + bunga + denda jd 20jtan. Saya kasih saran aja, bayar yg legal dulu aja krn ngaruh ke skor kredit, tp duitnya cari sendiri.;2024-04-30T17:26:56.000Z;https://x.com/xfyfz/status/1785360198003294638;[];
@sakilahgita;Gak gagal submit ojk sebenernya client2 gue, tapi sedih aja di last minutes kecolongan;2024-04-30T16:52:39.000Z;https://x.com/sakilahgita/status/1785351569938272527;[];
@aimsoblue;Gak ditanggepin? Gakpapa. Ditanggepin tapi gak mau ngaku dari pihak mereka? Gakpapa juga. Perbanyak laporan aja biar tetap kerecord kelakuan dc apk apk yang seenaknya itu esp ke ojk sama afpi.;2024-04-30T16:45:35.000Z;https://x.com/aimsoblue/status/1785349794707497342;[];@aimsoblue
@aimsoblue;4. Dc keluar kondar, ngancem, doxing, simpen semua buktinya dan bisa laporin ke email ojk, afpi sama email apk yang bersangkutan. Jangan nanya lagi gimana cara lapornya, ya kalian tinggal jelasin kronologi + kirim bukti-buktinya aja langsung.;2024-04-30T16:42:01.000Z;https://x.com/aimsoblue/status/1785348896681844975;[];@aimsoblue
@rian_blah;Ga dibayr ga sih ojk mah?;2024-04-30T15:58:09.000Z;https://x.com/rian_blah/status/1785337856040554605;[];@namxcel
@bidadaie;yaAllah semoga aku dapat pekerjaan yang lebih baik... kalau bisa bi ojk pertamina pln kemenkeu big 4 hehe aamiin;2024-04-30T15:45:12.000Z;https://x.com/bidadaie/status/1785334599046033483;[];
@surabitelur;"Aku gamau si punya cc atau kredit gituu sebisa mungkin aku hindari soalnya takutttt. Hutang dibawa mati :""))) makanya akujuga takut kalau data aku tanpa sepengetahuan aku di ojk ternyata kepake";2024-04-30T15:33:38.000Z;https://x.com/surabitelur/status/1785331684147179701;[];@solitubin
