User;Text;Date;Tweet Link;Media Links;Reply To
@cnbcindonesia;Bos Asuransi Bangkrut Mangkir, Michael Steven VS OJK Makin Panas;2024-01-11T23:54:47.000Z;https://x.com/cnbcindonesia/status/1745595137579962565;[];
@detikfinance;Otoritas Jasa Keuangan (OJK) meminta masyarakat waspada terhadap modus penipuan berkedok kiriman file APK melalui WhatsApp (WA).;2024-01-11T23:54:09.000Z;https://x.com/detikfinance/status/1745594981639684361;[];
@mangkuthinks;Terima kasih OJK sudah mengawal ini dan ada solusi.;2024-01-11T23:42:24.000Z;https://x.com/mangkuthinks/status/1745592021040124138;[];@ojkindonesia
@tempodotco;OJK Catat 15 Perusahaan Asuransi Belum Punya Aktuaris https://bisnis.tempo.co/read/1820257/ojk-catat-15-perusahaan-asuransi-belum-punya-aktuaris?utm_source=Twitter&utm_medium=dlvr.it… #TempoBisnis;2024-01-11T23:31:35.000Z;https://x.com/tempodotco/status/1745589302418182594;[];
@tempodotco;Pinjol Ilegal Naik 10 Persen saat Nataru, OJK: Modus Salah Transfer https://bisnis.tempo.co/read/1820256/pinjol-ilegal-naik-10-persen-saat-nataru-ojk-modus-salah-transfer?utm_source=Twitter&utm_medium=dlvr.it… #TempoBisnis;2024-01-11T23:02:34.000Z;https://x.com/tempodotco/status/1745581999916765482;[];
@Bisniscom;OJK Ungkap Perkembangan Peraturan Asuransi Wajib, Sudah Sampai Mana?;2024-01-11T16:02:06.000Z;https://x.com/Bisniscom/status/1745476185277214833;[];
@Bisniscom;OJK Ungkap Penyebab Merger BABP dan NOBU Berjalan Lambat;2024-01-11T15:57:06.000Z;https://x.com/Bisniscom/status/1745474925077664001;[];
@haftaliasnantoo;ojk lali ambe didulang mama, cek kuat sembarang e;2024-01-11T15:29:02.000Z;https://x.com/haftaliasnantoo/status/1745467862234574933;[];
@samidddi;anjg cok plis ojk ngono asu;2024-01-11T15:27:28.000Z;https://x.com/samidddi/status/1745467468943122870;[];
@Biankakartika;Kalo aku sih yes, makin terjamin diawasin OJK dan makin meringankan beban pengguna. makasih ya adakami;2024-01-11T15:25:36.000Z;https://x.com/Biankakartika/status/1745466999629828240;[];@adakamiofficial
@Sarcofagus12;Return 6 % bisa didapet dr deposito BPR/BPRS…dan sangat possible..asal bisa baca bank yg sehat apa enggak yang pasti dijamin lps..dan ojk uda nampilin semua per 3 months..nih cek website nya baca lap keuangan semua bank dr yg bank umum sampe bprs.. https://cfs.ojk.go.id/cfs;2024-01-11T15:11:20.000Z;https://x.com/Sarcofagus12/status/1745463409808937378;[];@bunapiss
