User;Text;Date;Tweet Link;Media Links;Reply To
@bukanhadee;mimpi nilai akutansi 90;2024-01-21T23:59:17.000Z;https://x.com/bukanhadee/status/1749220150509986196;[];
@bukanhadee;peluk gemoyy 111111111;2024-01-21T23:57:05.000Z;https://x.com/bukanhadee/status/1749219596903870967;[];
@mediumwellmeat;Tunggu bulan februari kakk.. ntar ada penerimaan staff ojk;2024-01-21T23:33:13.000Z;https://x.com/mediumwellmeat/status/1749213592216600884;[];@m1ieayamm
@dotpierces;baru bangun, telat gak sieh..;2024-01-21T22:36:29.000Z;https://x.com/dotpierces/status/1749199312050065473;[];@YAOIBASERP
@afivestore;Kamu sebelum nya pernah galbay? Atau ojk mu merah kali nder;2024-01-21T18:20:03.000Z;https://x.com/afivestore/status/1749134778039930926;[];@convomfs
@dotpierces;akhirnya selesai juga bikin lego bunganya..;2024-01-21T17:56:42.000Z;https://x.com/dotpierces/status/1749128902000484358;[];
@Mfthrrzkk;Aku yg waktu kecil tumbuh dilingkungan konflik agraria akibat dampak kebijakan politikus rakus, cukup miris liat org yg sok edgy gapeduli sama hal hal bginian Liat tuh org tua kita dulu pada buta politik skrg gabisa apa apa kalo haknya kena kebijakan rakus politisi;2024-01-21T17:50:11.000Z;https://x.com/Mfthrrzkk/status/1749127265315897802;[];@kuciingpucing
@Mfthrrzkk;Pak, udh ga jadi diangkat jadi cawapres alias kena tikung skrg malah jadi tukang cebok anak haram konstitusi Gimana pak rasanya ?;2024-01-21T17:37:21.000Z;https://x.com/Mfthrrzkk/status/1749124034892042736;[];@erickthohir
@AlfanAlwi;Betul pinjol ilegal juga harus dicabut ijin OJK nya;2024-01-21T17:30:48.000Z;https://x.com/AlfanAlwi/status/1749122387092914348;[];
@Mfthrrzkk;Ini yg gasuka dan ga berpatisipasi belum ngerasain rumahnya di gusur pake alat berat apaa Sok sok an bilang ganggu, ntar dagangan bapak lu di gusur pol pp krn kebijakan bego pemerintah mau emangnya dibilang ganggu juga heeehhhhhh;2024-01-21T17:29:57.000Z;https://x.com/Mfthrrzkk/status/1749122172701081905;[];@kuciingpucing
@m1ieayamm;pgn bgtt kerja di OJK tapi belum dapet info loker;2024-01-21T16:54:30.000Z;https://x.com/m1ieayamm/status/1749113249759691070;[];@worksfess
@Mfthrrzkk;Partai penyembah jokowi Udah mulai aja nyebokinnya;2024-01-21T16:18:17.000Z;https://x.com/Mfthrrzkk/status/1749104134509506671;[];@TsamaraDKI
@itsyrslf;Jelas wkwk. Aku sempet jd intern di ojk dan diceritain byk hal sama mereka aja auto tertarik masuk sini tpi syg nya background pendidikanku ga sesuai. BI kemaren aku ikut pcpm tpi ga lolos seleksi adm krn background pend ku jg ga sesuai kualifikasi;2024-01-21T16:08:52.000Z;https://x.com/itsyrslf/status/1749101766443229681;[];@worksfess
@131smart;OJK, BI, Kemenkeu;2024-01-21T16:05:42.000Z;https://x.com/131smart/status/1749100969298895219;[];@worksfess
