User;Text;Date;Tweet Link;Media Links;Reply To
@frvrsunny;sek isuk tolong ojk mangkelno dil;2024-02-26T23:53:06.000Z;https://x.com/frvrsunny/status/1762264558255968377;[];@adnadill
@bukanhadee;wkwk adaaa aja alesan;2024-02-26T23:31:10.000Z;https://x.com/bukanhadee/status/1762259039646535884;[];
@bukanhadee;kertajaya 7f;2024-02-26T23:02:37.000Z;https://x.com/bukanhadee/status/1762251853163794879;[];@ryantapiboong
@pengabdimatchaa;kalo jurusan hukum ambil magang di OJK jobdesk apa aja yaa kak kalo boleh tau?;2024-02-26T21:52:42.000Z;https://x.com/pengabdimatchaa/status/1762234256288592229;[];@jeon_editor
@BA7jk;Bu adam benim babam;2024-02-26T20:07:50.000Z;https://x.com/BA7jk/status/1762207867422003601;['https://pbs.twimg.com/media/GHSetPEXsAEmpYG?format=jpg&name=900x900'];@zimbahakan
@Bisniscom;OJK: 21 Perusahaan Asuransi dan Reasuransi Belum Punya Aktuaris;2024-02-26T18:26:34.000Z;https://x.com/Bisniscom/status/1762182384534048826;[];
@SyafiraFalisha;CONTOH PINJOL ILEGAL | kalian jangan tertipu dengan logo OJK yang ada di aplikasi pinjol di PlayStore ya guys #edukasi #konsultasigratis #solusi #jokipinjolamanah Sorotan Pengikut;2024-02-26T18:26:17.000Z;https://x.com/SyafiraFalisha/status/1762182312597590044;[];
@AlbertSolo2;OJK menegaskan bahwa pihaknya tidak akan lagi memberikan ijin usaha kepada masyarakat yang ingin membuka bisnis di sektor perbankan baik BPR ataupun BPRS,yang dulu di sebut bank pasar tersebut.pada umumnya BPR atau BPRS ini,banyak masalah dan modal intinya masih kecil.;2024-02-26T17:44:07.000Z;https://x.com/AlbertSolo2/status/1762171700010176660;[];
@AlbertSolo2;OJK mencatat adanya penyusutan jumlah BPR,akibat imbas banyak bank perekonomian rakyat yang tumbang dalam beberapa bulan terakhir ini,di sejumlah daerah.BPR dan BPRS adalah solusi bagi masyarakat,yang tidak memiliki akses mendapatkan layananan bank umum di tempatnya.;2024-02-26T17:38:23.000Z;https://x.com/AlbertSolo2/status/1762170256012022153;[];
@jeon_editor;di web ojk ada buat pkl gitu, cuman itu aku pas 2022 krg tau kalo sekarang ka;2024-02-26T17:07:39.000Z;https://x.com/jeon_editor/status/1762162523187597332;[];@aawansenja
