User;Text;Date;Tweet Link;Media Links;Reply To
@ojkindonesia;Info seputar update kebijakan dan kegiatan OJK lainnya, kunjungi kanal Youtube Otoritas Jasa Keuangan (OJK TV). #OJK #OJKOne #HUTOJK #MengabdiMembangunNegeri #HUTOJK12 #OJKTV;2023-12-01T23:44:44.000Z;https://x.com/ojkindonesia/status/1730734706646475066;[];@ojkindonesia
@ojkindonesia;Hal ini disampaikan Ketua Dewan Komisioner OJK Mahendra Siregar saat menutup rangkaian kegiatan HUT Ke-12 OJK di Jakarta. Kegiatan ini diikuti oleh Dewan Komisioner OJK bersama seluruh insan OJK di Kantor Pusat dan daerah.;2023-12-01T23:44:43.000Z;https://x.com/ojkindonesia/status/1730734703995695324;[];@ojkindonesia
@ojkindonesia;HUT Ke-12 OJK: Mengabdi Membangun Negeri Sobat OJK, kebersamaan insan OJK tercermin dalam tugas, pekerjaan, visi, misi dan orientasi bersama.;2023-12-01T23:44:42.000Z;https://x.com/ojkindonesia/status/1730734699767894029;[];
@siapaayaakuini;Dari dulu Dana tidak pernah di bawah OJK;2023-12-01T23:36:22.000Z;https://x.com/siapaayaakuini/status/1730732601437282807;[];@dchiluvt
@azvinl;Meeting audit OJK kenapa suka dadakan ya?;2023-12-01T23:13:28.000Z;https://x.com/azvinl/status/1730726841386992056;[];@sylvkartika
@JRA15_;upload aja di media konsumen / langsung ojk . biar sampai ke manajemen mereka. ketar ketir tu leader collectionnya https://konsumen.ojk.go.id/formpengaduan;2023-12-01T22:47:52.000Z;https://x.com/JRA15_/status/1730720396608152060;[];@ridwanhr
@antaranews;Kemendagri dan OJK bangun sinergi perkuat perekonomian daerah;2023-12-01T22:28:09.000Z;https://x.com/antaranews/status/1730715435031839107;[];
@dotpierces;gabisa tidur.. enaknya ngapain yaa?;2023-12-01T18:07:46.000Z;https://x.com/dotpierces/status/1730649908464808319;[];
@dotpierces;ngga kak ini rill dingin banget;2023-12-01T18:01:10.000Z;https://x.com/dotpierces/status/1730648246605975722;[];@rapyoonqi
@dotpierces;dingin banget..;2023-12-01T17:56:39.000Z;https://x.com/dotpierces/status/1730647108309708893;[];
@rengganesputri;Tapi tidak masuk ojk khan;2023-12-01T17:54:35.000Z;https://x.com/rengganesputri/status/1730646588190847144;[];@danawallet
@Doralez1;lapor ojk aja;2023-12-01T17:19:09.000Z;https://x.com/Doralez1/status/1730637671763243302;[];@ridwanhr
@naura_17569;@ojkindonesia tolong dong ojk.. bereskan ini.. saya kena juga;2023-12-01T17:04:36.000Z;https://x.com/naura_17569/status/1730634011029237797;[];@ridwanhr
@imonmon48;Kalau JKT48 jadi bank, kualitas produk jelek bukannya di perbaiki tp di hilangin, tinggl lapor OJK aja;2023-12-01T16:49:42.000Z;https://x.com/imonmon48/status/1730630262063853852;[];@ledekrepp
@NKRIANTIKORUPSI;Pada tanggal 1 Desember 2023, mandiri Livin, catatan trasaksi dibeberapa nasabah tidak bisa di lihat,kok bisa?? Mencurigakan, ditunggu penjelasanya @kemkominfo @kemenkeu @bankmandiri @mandiricare @OJK_Indonesia @antaranews @BBCIndonesia @Beritasatu @RadioElshinta @detikcom;2023-12-01T16:28:14.000Z;https://x.com/NKRIANTIKORUPSI/status/1730624857006879205;[];
@AlterVEgo_;Kalo mau laporin pt macam itu kemana sih? Ojk? Udah kaya di pasar jualan krim wajah ditarik2 anjir. Maksa banget.;2023-12-01T16:24:45.000Z;https://x.com/AlterVEgo_/status/1730623981764698444;[];
@jhanmaxxx;Lapor ke OJK mas. Atau cek web organisasi netra yakni Pertuni, mungkin mereka bersedia membantu teman sampean. Kebetulan ketum pertuni Sarjana Hukum juga.;2023-12-01T16:00:29.000Z;https://x.com/jhanmaxxx/status/1730617874975437246;[];@ridwanhr
@RakjatPekerja;Posting ini di LinkedIn pak gub dan tag home creditnya sama OJK nya. Atau bisa langsung ke wisma mulia 2 lantai 11;2023-12-01T15:45:37.000Z;https://x.com/RakjatPekerja/status/1730614134583316660;[];@ridwanhr
