User;Text;Date;Tweet Link;Media Links;Reply To
@golek_wangsit;kode promo referral pinjaman online dana tunai pinjol/payleter OJK indodana: 956LUQUG tips ACC: kontak darurat akan dikirim SMS link verifikasi-klik-SETUJU McD Tokopedia Alfamart Blibli iBox samsung erafone eiger Airpaz oppo IKEA/pulsa/token/tiket konser/pesawat/hotel/bioskop;2024-02-01T23:52:06.000Z;https://x.com/golek_wangsit/status/1753204607298437372;['https://pbs.twimg.com/media/GFSiS7Ca4AAkxuf?format=jpg&name=small'];
@JatimPemprov;Halo #wargajatim Tidak perlu lagi BI Checking untuk mengetahui catatan hutang Anda. Sekarang, #wargajatim bisa memeriksanya lewat SLIK OJK yaa! Ingin tahu lebih lanjut? Simak infografis berikut untuk detailnya~ Ada yang sudah pernah coba? @KhofifahIP @EmilDardak;2024-02-01T23:44:15.000Z;https://x.com/JatimPemprov/status/1753202633773588822;['https://pbs.twimg.com/media/GFSgfQ3aYAAVg5y?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GFSgfpHbgAAUp2d?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GFSggDxa0AAesrj?format=jpg&name=360x360'];
@bukanhadee;anjinggg di habis i ibukku ak pagi ini;2024-02-01T23:36:37.000Z;https://x.com/bukanhadee/status/1753200713365409795;[];
@kompascom;Satgas Pasti OJK merilis ratusan pinjaman online dan investasi ilegal yang bisa membahayakan masyarakat. Ini daftar dan cara mengeceknya http://dlvr.it/T2BhZs;2024-02-01T23:32:14.000Z;https://x.com/kompascom/status/1753199609277731164;[];
@tempodotco;Terpopuler: Bahkan Pejabat OJK pun Pernah Diteror Debt Collector Perusahaan Pinjol, Kemenkeu Sebut Kenaikan Gaji ASN dan Pensiunan Cair Maret https://bisnis.tempo.co/read/1828699/terpopuler-bahkan-pejabat-ojk-pun-pernah-diteror-debt-collector-perusahaan-pinjol-kemenkeu-sebut-kenaikan-gaji-asndan-pensiunan-cair-maret?utm_source=Twitter&utm_medium=dlvr.it… #TempoBisnis;2024-02-01T23:09:15.000Z;https://x.com/tempodotco/status/1753193824158105606;[];
@okezonenews;Soal polemik Danacita, ini kata OJK;2024-02-01T18:30:00.000Z;https://x.com/okezonenews/status/1753123550343401924;[];
@bangsaonline;OJK Cabut Izin Usaha BPRS Mojo Artho, LPS Beri Perlindungan ke Nasabah https://bangsaonline.com/berita/128271/ojk-cabut-izin-usaha-bprs-mojo-artho-lps-beri-perlindungan-ke-nasabah… Follow di google berita : https://bit.ly/3P1jKRH #beritaviral #berita #news #bangsaonline;2024-02-01T18:27:22.000Z;https://x.com/bangsaonline/status/1753122887156760792;['https://pbs.twimg.com/media/GFRX-cuWMAAtDaH?format=jpg&name=small'];
@yogaftrh;ojk kendat pakde;2024-02-01T18:16:45.000Z;https://x.com/yogaftrh/status/1753120215024693589;[];@Madisondegen
@Bisniscom;Tap Insure Komitmen Penuhi Aturan Kenaikan Modal dari OJK;2024-02-01T18:12:34.000Z;https://x.com/Bisniscom/status/1753119162288030082;[];
@Bisniscom;Tap Insure Komitmen Penuhi Aturan Kenaikan Modal OJK;2024-02-01T18:07:35.000Z;https://x.com/Bisniscom/status/1753117907972980818;[];
@marbellen123;Pake kode referralku 'marimwo1' saat daftar Kredivo&dapetin diskon sd 500 rb. Download Kredivo di sini https://kredivo.onelink.me/1553051199/2sx1on7f… Krn Kredivo,aku bisa belanja apa&dimana aja,cicil sd 24 bln,limit sd 50 juta,bunga mulai 0%. Kredivo berizin dan diawasi OJK #Sefleksibelitu;2024-02-01T17:53:51.000Z;https://x.com/marbellen123/status/1753114451459633501;[];
@bukanhadee;gabisa tidur gasik kira” penyakit apa ya;2024-02-01T17:23:46.000Z;https://x.com/bukanhadee/status/1753106883630846367;[];
@dotpierces;adak, nieh saya;2024-02-01T16:56:05.000Z;https://x.com/dotpierces/status/1753099916531143047;[];@YAOIBASERP
@antarabiz;OJK: Belum ada pelanggaran yang dilakukan Danacita maupun kampus ITB;2024-02-01T16:10:35.000Z;https://x.com/antarabiz/status/1753088466769133674;[];
@dziekyms;Eh gue mau liat KOL diri sendiri pake slik ojk lama btl;2024-02-01T15:42:54.000Z;https://x.com/dziekyms/status/1753081497509339380;[];
@cnbcindonesia;Debt Collector Ternyata Boleh Tagih di Luar Jam Kerja, OJK Buka Suara;2024-02-01T15:33:26.000Z;https://x.com/cnbcindonesia/status/1753079113978728545;[];
