User;Text;Date;Tweet Link;Media Links;Reply To
@saftiann;cuma denda sama diteror via telpon, sms, whatsapp.. kalo niat bayar ya terima semua trus bilang bayar pas gajian tanggal 28.. BI checking sama slik OJK aman si ya, karna masuk kesitu kalo telat lebih dari 3 bulan, sisanya yg keliatan cuma kredit lancar aja..;2024-05-24T23:40:39.000Z;https://x.com/saftiann/status/1794151556461605250;[];@tanyarlfes
@asyaaaiueo;"Sender pake kuanti/kuali? Kalo kuanti dan ambil objek penelitian di bank/non bank, kamu bisa ambil data"" di website (kek bps, ojk, bi, dll). Terus sambil nunggu jadwal sempro, sekalian aja kerjain sisanya tuh bisa. InsyaAllah keburu kalo kamu emang niat, based on my experience ya";2024-05-24T20:41:45.000Z;https://x.com/asyaaaiueo/status/1794106535489962084;[];@collegemenfess
@mapiajaksel;mau juga dong diawasi ayah ojk. anak ayah kan cantikkkk;2024-05-24T20:01:30.000Z;https://x.com/mapiajaksel/status/1794096405042078095;[];@convomfs
@Defrian38829563;Apakah Akulaku Paylater Berizin dan Diawasi oleh OJK? Yuk, Cari Tahu!;2024-05-24T19:47:07.000Z;https://x.com/Defrian38829563/status/1794092787324887049;[];
@kowizuk;Nope. Proses masuk silk ojk butuh 3-5 bln jk blm pny lending account, dan 30 hari jk namanya sdh registered dlm lending account.;2024-05-24T17:15:42.000Z;https://x.com/kowizuk/status/1794054681552908488;['https://pbs.twimg.com/media/GOPLfnMaoAAfn6f?format=jpg&name=900x900'];
@dantsus;Benar. Ada di bank @KemenBUMN Bayangkan contoh 900m cair bangunan tidak ada. Tiba2 memailitkan semua mafia. Bank konkruense dannlegal nya diam ada apa? @ojkindonesia diam saja. Anehnya slik OJK lancar dipoles pembukuan. Sekarang diberi Lelang grup nya juga. APH diam. @KPK_RI;2024-05-24T17:04:36.000Z;https://x.com/dantsus/status/1794051888033452221;['https://pbs.twimg.com/media/GOXAqTjbgAAeDjA?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GOXAqTkaQAAHLtG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GOXAqThasAAVBqK?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GOXAqTjacAEvYyy?format=jpg&name=360x360'];@okezonenews
@strawberiiiiiy;terus pihak peminjaman (khususnya yang diawasi oleh ojk which is shopee) gak perlu masukin data ke ojk. Semua riwayat pinjaman dan status pinjaman orang (lancar maupun nunggak) bakal tersimpan di ojk. Inii yang aku dapet pas intern kampus merdeka di perbankan yaa, cmiiw.;2024-05-24T17:04:22.000Z;https://x.com/strawberiiiiiy/status/1794051828176544150;[];@strawberiiiiiy
@shapushabu;mana nih otoritas jembut kontol nirguna @ojkindonesia liat nih di pilipin investodh udah bubar... tag media nasional @kompascom @mediaindonesia @KontanNews @KontanKEUANGAN @CNNIndonesia biar pada tahu impotennya OJK... email cs investree udah mati aja masih dibilang usaha;2024-05-24T17:02:00.000Z;https://x.com/shapushabu/status/1794051231813685619;[];
@strawberiiiiiy;Mjb koreksi dikit. Slik ojk bukan minimal 3 bulan baru tercatat. 3 bulan pertama nunggak itu termasuk golongan KOL 2(dalam perhatian khusus/dpk). artinya kalau nunggak, min 1 bulan udah termasuk dpk.;2024-05-24T16:56:49.000Z;https://x.com/strawberiiiiiy/status/1794049929301869006;[];@stephosea
@yourdorothea20;Apakah rupiah cepat ini bener bener tetdftr di ojk, soalnya pas ku check gak ada pinjaman dr rupiah cepat? Pdhl aku minjem;2024-05-24T16:48:49.000Z;https://x.com/yourdorothea20/status/1794047913661980680;[];@mantriss
@swweetplace;better. aduin langsung ke ojk. semua bukti oren kamu buat pdf. nnt akan ada mediasi km dan oren dari ojk. karena oren emang sebar2 itu.;2024-05-24T16:48:16.000Z;https://x.com/swweetplace/status/1794047778529698217;[];@prvttlyy_
@lily_prettyyy;Makanya. Begitulah pinjol. Aku pernah dpt interview di pinjol, trs aku lebih condong patuh kepada aturan OJK, eh PIC nya malah gak suka. Hahahaha;2024-05-24T16:35:25.000Z;https://x.com/lily_prettyyy/status/1794044544520257621;[];@staystr000ng
@xxmndka;Di alusi ojk di kasari engko lak nurut;2024-05-24T16:31:34.000Z;https://x.com/xxmndka/status/1794043575199764971;[];@sbyfess
@lily_prettyyy;Iya biar malu kak. Makanya aku pas lapor ojk aku blg “dengan sengaja menyebarkan berita nasabah berhutang ke pihak yang tidak berkepentingan, sengaja membuat nasabah malu dan dikucilkan di lingkungannya”;2024-05-24T16:28:12.000Z;https://x.com/lily_prettyyy/status/1794042728793374863;[];@staystr000ng
@rzkdhl;Waduh misleading bgt. Kolektibilitas slik ojk dihitung perhari. Kamu telat < 90 hari udah masuk kol 2, dan apalagi dientengin mumpung blm 90 hari, penunggakan kol 2 aja bisa jadi bahan pertimbangan pengajuan kredit & bisa kena resiko tinggi. Hutang jangan dientengin:(;2024-05-24T16:06:00.000Z;https://x.com/rzkdhl/status/1794037140533432543;[];@stephosea
@flobamora_news;OJK Luncurkan Roadmap Pengembangan dan Penguatan Industri BPR dan BPRS 2024-2027;2024-05-24T16:00:16.000Z;https://x.com/flobamora_news/status/1794035697206386837;[];
@dantsus;Benar seperti manajemen bank @KemenBUMN bertahun lakukan manipulasi catat Akunting. Kredit2 tdk sop macet NPL masuk slik @ojkindonesia lancar. Ada apa Pengawas OJK. Juga @bpkri @IDX_BEI Coba lihat bisa dibuku palsu pembayaran 7T fiktif. Msh banyak Akun2 total puluhan triliun.;2024-05-24T15:40:14.000Z;https://x.com/dantsus/status/1794030653912371378;['https://pbs.twimg.com/media/GOWtXIPaMAA8iWL?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GOWtXIOagAA39bC?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GOWtXIRaMAAHhZ2?format=jpg&name=360x360', 'https://pbs.twimg.com/media/GOWtXIPbIAAUgo0?format=jpg&name=360x360'];@triwul82
@okezonenews;Berapa Hari Galbay Masuk Slik OJK?;2024-05-24T15:23:20.000Z;https://x.com/okezonenews/status/1794026404063162414;[];
@kiariaxkekira;ojk iki;2024-05-24T15:14:00.000Z;https://x.com/kiariaxkekira/status/1794024052912480268;[];@pixeltopoly
@prplemurasaki;ojk mikir ga ga, iki bkn komik forno;2024-05-24T15:12:59.000Z;https://x.com/prplemurasaki/status/1794023799417082126;[];@prplemurasaki
@subhi_darajat;Bos OJK Kasih Tips Supaya Tak Berurusan dengan Debt Collector - CNBC Indonesia;2024-05-24T15:07:11.000Z;https://x.com/subhi_darajat/status/1794022338817585457;[];
@Arnehe4;Lebih ngeri main saham bos yang diawasi ojk...uang tabungan di telan oleh emiten perampok yang dibiarkan ojk,;2024-05-24T14:58:09.000Z;https://x.com/Arnehe4/status/1794020064532079008;[];@CNNIndonesia
@Mfthrrzkk;biasa lah penyembah klan solo gaperlu diladenin wkwkwk;2024-05-24T14:47:33.000Z;https://x.com/Mfthrrzkk/status/1794017398947033410;[];@endangbambhang
@Leon3152;Dengan adanya penguncian oleh pihak bank peredaran uang yang selama ini lancar menjadi terhambat. Tolong OJK segera menertibkannya;2024-05-24T14:43:43.000Z;https://x.com/Leon3152/status/1794016432818418053;[];
@EmirzaBig;Pinjol Kr*d*v@ DC lapangan nya makin Barbar cara nagih nya, seolah2 mereka gak takut dengan @ojkindonesia . Saya sich yakin ojk tau kelakuan mereka krn sdh bnyk pengaduan, tp gk berani ngapa2in. Ada ada ya ojek dng pinjol itu?!? Tolong teman2 media @Metro_TV @tvOneNews @KompasTV;2024-05-24T14:37:01.000Z;https://x.com/EmirzaBig/status/1794014747979030659;[];
@vaigorous;Tau ga kenapa ayu tingting itu kaya? Karena diawasi oleh ayah ojk.;2024-05-24T14:36:53.000Z;https://x.com/vaigorous/status/1794014711438348547;[];
@Leon3152;OJK harap melarang bank yang mengunci akun selama 6 bulan, karena akan membuat peredaran uang dihambat;2024-05-24T14:29:48.000Z;https://x.com/Leon3152/status/1794012929295298628;[];
@inilahdotcom;Periode Januari-Mei 2024, Otoritas Jasa Keuangan (OJK) mencabut 12 Bank Perekonomian Rakyat (BPR) dan BPRS (Syariah). Salah satunya BPR Jepara Artha (...;2024-05-24T14:23:33.000Z;https://x.com/inilahdotcom/status/1794011357479874610;[];
@bareda;Kerjasama dengan OJK, larang bank dan emoney dipakai untuk transaksi judol.;2024-05-24T14:19:52.000Z;https://x.com/bareda/status/1794010430312271930;[];@CNNIndonesia
