User;Text;Date;Tweet Link;Media Links;Reply To
@kapaspembalut;Di Playstore ada byk. Cocokin aj datanya sm Ojk;2024-01-05T23:57:21.000Z;https://x.com/kapaspembalut/status/1743421458913878092;[];@jogmfs
@_qwerty_komen;Kenapa di Dana? Bukannya dana tidak diawasi OJk?;2024-01-05T23:13:55.000Z;https://x.com/_qwerty_komen/status/1743410525940449298;[];@tarorumput
@aloneisasik;Lah kan saya nge rep yg atas katanya yg ngawasi BI, bukan OJK . Kan rep nya pada serius semua.;2024-01-05T23:11:58.000Z;https://x.com/aloneisasik/status/1743410037039735144;[];@untung_hidup
@Zozz__x;Dana udh ga diawasin sama OJK, jadi skrng rawan bnget.. Mending kalo nabung di bank biasa aja jngan di e wallet;2024-01-05T23:10:35.000Z;https://x.com/Zozz__x/status/1743409689323540688;[];@seorangpisces
@IDNTimes;Mau Finansial Sehat di 2024? Ini 3 Caranya Menurut OJK https://idntimes.com/business/finance/vadhia-lidyana-1/mau-finansial-sehat-di-2024-ini-3-caranya-menurut-ojk?utm_source=twitter&utm_medium=twitter&utm_campaign=dlvr.it…;2024-01-05T23:05:05.000Z;https://x.com/IDNTimes/status/1743408306780242361;[];
@DJNA911;Berkat Kredivo, aku bisa belanja apa aja dimana aja dan cicil sampai *24 bulan, bunga mulai 0% dan limit sampai Rp50 juta*. Kredivo *berizin dan diawasi OJK* Pasti amaaann #Sefleksibelitu;2024-01-05T23:04:43.000Z;https://x.com/DJNA911/status/1743408213087698947;[];@DJNA911
@radarlampung;Ada Indikasi Penyalahgunaan Data Pribadi untuk Pinjol, Ini 3 Langkah Mudah Lapor ke OJK;2024-01-05T22:13:45.000Z;https://x.com/radarlampung/status/1743395387275460847;[];
@ReplyXFO_id;Fyi semua E-Wallet gak di Awasi ojk, hanya produk paylaternya aja yang diawasi;2024-01-05T21:27:25.000Z;https://x.com/ReplyXFO_id/status/1743383724685951212;[];@Amigo_Day
@Yhzkl7_;Bukan udh gak diawasi ojk, tapi tidak pernah karna semua E-Wallet hanya di awasi Bank indonesia bukan ojk;2024-01-05T21:25:42.000Z;https://x.com/Yhzkl7_/status/1743383292324499472;[];@velinska9
@Mensky13;coba langsung ke kantor ojk kak;2024-01-05T20:16:10.000Z;https://x.com/Mensky13/status/1743365794862617026;[];@tarorumput
@velinska9;dana emang ga aman, i pernah juga mo kena tipu tf semua saldo entah ke mana. di-vc in terus sama nomor ga dikenal, mengatasnamakan @danawallet kyk nya buat verif muka gt. lgsg i block dan pindahin saldo. tp emang udah ga diawasin ojk kan yah? mending pk bank.;2024-01-05T20:09:29.000Z;https://x.com/velinska9/status/1743364112720318940;[];@tarorumput
@gummyuji;mau diedukasi sampe berapa kali juga orang tetep aja nyebarin-nyebarin terus, tiap kali ada yg sangkut pautin Dana sm OJK, indonesia emas mundur 1 tahun;2024-01-05T18:51:10.000Z;https://x.com/gummyuji/status/1743344405841657908;[];@gummyuji
@SyafiraFalisha;OJK BERI SANGSI KEPADA 23 PINJOL | silahkan konsultasi dengan admin langsung via wa ya guys #edukasi #konsultasigratis #solusi #jokipinjolamanah;2024-01-05T18:36:24.000Z;https://x.com/SyafiraFalisha/status/1743340688329359815;[];
@notjustahope;Kalo ini keliru, bukan kewenangan OJK mengawasi e-wallet/dompet digital. Gaada e-wallet yang diawasi sama OJK. https://x.com/teucerbestie/s/teucerbestie/status/1743227583926616269…;2024-01-05T18:27:24.000Z;https://x.com/notjustahope/status/1743338425082839434;[];
