User;Text;Date;Tweet Link;Media Links;Reply To
@gb_sleepy;Ya gimana, OJK nya dapet profit dari situ, mereka bukan lagi pengawas dan regulator, mereka juga pemain terselubung;2024-05-20T23:59:37.000Z;https://x.com/gb_sleepy/status/1792706780289777857;[];@kompascom
@BloombergTZ;OJK Rilis Peta Jalan Penguatan BPR/S, Berikut Poin-poin Penting;2024-05-20T23:52:05.000Z;https://x.com/BloombergTZ/status/1792704884191694861;[];
@raiinby;Nama orang yg galbay di masukin ke blacklist sama Bank Indonesia (kalo pinjol resmi OJK, yang ga resmi kurang tau), mempersulit kita kalo mau daftar kerja, cicilan rumah, pokoknya semua yang berkaitan dengan bank (cicilan, permodalan, utang, dll);2024-05-20T23:51:55.000Z;https://x.com/raiinby/status/1792704840394797289;[];@zh4r2003
@cherryfeels_;Katanya gk ada fc nya kak, dia jg gk masuk slik ojk…;2024-05-20T23:46:27.000Z;https://x.com/cherryfeels_/status/1792703465002766504;[];@slowliving11
@Bisniscom;Buka Jalan BPR IPO, OJK Tempuh Sejumlah Langkah Kurangi Risiko bagi Investor;2024-05-20T23:29:10.000Z;https://x.com/Bisniscom/status/1792699113907106185;[];
@stickynotees_;menkeu udah bilang gini, OJK juga udah nge-iya-in, tinggal ketok palu aja. lucunya keputusan ini mencuat tepat setelah ramai UKT naik gila-gilaan. negara dgn pernyataan kalo pendidikan tinggi itu kebutuhan tersier, gue melihatnya pemerintah kyk pengusaha parkir liar.;2024-05-20T22:14:30.000Z;https://x.com/stickynotees_/status/1792680324322955358;['https://pbs.twimg.com/media/GFFu8v4boAAnyyQ?format=jpg&name=small'];
@Shofia_Labora;Enteng banget ngomongnya si OJK. Lalu gimana penyelesaiannya? Kan mrp para pinjol udah ada ijin dari ente. Mrk guru2 yg minjem dari pinjol pasti milih pinjol yg ngaku udah ada ijin dari OJK kan?;2024-05-20T22:10:46.000Z;https://x.com/Shofia_Labora/status/1792679384522100820;[];@Tan_Mar3M
@KuroNekoBanser;Ya gak bisa pinjol ilegal masuk BI checking. Aplikasinya terdaftar di OJK aja kagak.;2024-05-20T21:52:10.000Z;https://x.com/KuroNekoBanser/status/1792674705687896128;[];@ryn_hanes
@copycat008;Ini beneran ojk yg ngomong?;2024-05-20T21:19:53.000Z;https://x.com/copycat008/status/1792666578900967862;[];
@vinosatwika;Aku jadi bangga umur hampir kepala 3 pas request SLIK OJK isinya kosong melompong;2024-05-20T19:33:01.000Z;https://x.com/vinosatwika/status/1792639687690948685;[];@fauzanmuhajir
@KromoNews;OJK dari awal berdiri udah bau tai;2024-05-20T19:32:22.000Z;https://x.com/KromoNews/status/1792639521797931194;[];@timpenguinnas
@GATRA_com;OJK Bolehkan BPR dan BPRS Lakukan IPO, Ini Syaratnya;2024-05-20T19:30:02.000Z;https://x.com/GATRA_com/status/1792638937107697913;[];
@toothless0x7;Kalau regulasi di Indonesia jelas, perusahaan dengan tema perbankan yang diawasi OJK tidak boleh menyimpan data pada server di luar negeri Bedakan konteksnya data yang disimpan pada cloud storage, dan data log/telemetri dari perangkat;2024-05-20T18:39:59.000Z;https://x.com/toothless0x7/status/1792626340316758205;[];@toothless0x7
@razkaws;dompet digital kagak diawasi ojk tapi BI..tapi dompet digital yg ada layanan pinjaman atau paylater yg diawasi ojk..;2024-05-20T18:19:33.000Z;https://x.com/razkaws/status/1792621197173141793;[];@ryeounx
@zigizagto;Menyala OJK kuh;2024-05-20T18:17:16.000Z;https://x.com/zigizagto/status/1792620623623237997;[];@kompascom
