User;Text;Date;Tweet Link;Media Links;Reply To
@cnbcindonesia;OJK Ungkap 6 Multifinance RI Mati di 2023, 8 Lainnya Menghitung Hari https://cnbcindonesia.com/market/20240107063605-17-503310/ojk-ungkap-6-multifinance-ri-mati-di-2023-8-lainnya-menghitung-hari?utm_source=twitter&utm_medium=oa&utm_content=cnbcindonesia&utm_campaign=cmssocmed…;2024-01-06T23:48:05.000Z;https://x.com/cnbcindonesia/status/1743781512947093836;[];
@holygraeil;Udah banyak sih korban nya, salah satunya juga gue wkwk langsung kapok make dana dan katanya udah gak diawasi ojk;2024-01-06T18:46:19.000Z;https://x.com/holygraeil/status/1743705572481052725;[];
@gfsjyrebynebyw;orang2 sekitarku uda byk kena kasus saldo ketarik tiba2 melalui dana. penyelesaian dr dana jg ga gercep, lamaaa bgt. yg hilang jg jutaan. dana jg uda ga diawasi OJK lg. jd emg saranku mending gausa pake dana lg. lebih baik mencegah daripada mengobati.;2024-01-06T18:18:17.000Z;https://x.com/gfsjyrebynebyw/status/1743698515816263843;[];@tarorumput
@dotpierces;MAKSUDNYA APA YAH???;2024-01-06T18:15:02.000Z;https://x.com/dotpierces/status/1743697698178646463;[];@albiandraa_
@Ddalkiie;Mjb emang ga di awasin ojk tapi di awasi BI (bank indonesia) cmiiw.;2024-01-06T18:02:51.000Z;https://x.com/Ddalkiie/status/1743694634923282776;[];@natajens
@amah_b3c;semenjak denger kabar dana udh keluar dr ojk. aku dah gak pakai lagi. padahal biasanya rajin isi untuk tf ke beda bank. tp aku rela deh kepotong 2500 ketimbang uangnya ilang. kejadian saldo ilang tuh gak sekali dua kali ku baca. serem banget;2024-01-06T18:00:41.000Z;https://x.com/amah_b3c/status/1743694089189826886;['https://pbs.twimg.com/media/GDBE4WvaEAAe5E7?format=jpg&name=small', 'https://pbs.twimg.com/media/GDBE8apaYAEt_CB?format=jpg&name=small'];
@hamiestark;ka maaf, tapi saran aku mending stop nabung di dana, dulu juga sempet trending di twt soal banyak yang nyimpen uang di apk ini dan yaaa hilang gatau kemana, dan kenapa dana itu ga kayak mbanking lainnya yang sistem keamanannya lebih kuat karna emang dana ga dalam pantauan ojk jga;2024-01-06T17:31:15.000Z;https://x.com/hamiestark/status/1743686682346766732;[];@tarorumput
@98MNHKNOW;kak aku mau tanya, mjb sebelumnya kalo pas ngajuin kur itu disebut2 ga kak kyk di slik ojk kita ada hutang sekian sekian gt? atau semisal lg ada hutang di paylater lain?;2024-01-06T17:18:48.000Z;https://x.com/98MNHKNOW/status/1743683547817451648;[];@Issa_scenteu
@sicandulangit;aku pake seabank udah hmpir 2 thun ni kak, aman bgt krna diawasin sm ojk;2024-01-06T17:18:15.000Z;https://x.com/sicandulangit/status/1743683410051383530;[];@bacolumbia
@gataubuatapa19;nah ini aku sering ngingetin temen2ku buat ga nyinpen duit di dana karena gadiawasin ojk. kasus serupa jg uda banyak bgt terjadi;2024-01-06T17:17:07.000Z;https://x.com/gataubuatapa19/status/1743683123320385688;[];@tanyakanrl
